compiler	implementation	GFLOPS	GFLOPS_err
gcc	01-messages	6.4	0.1
gcc	02-conversions	8.3	0.1
gcc	03-strength-reduction	11.5	0.0
gcc	04-parallel	34.2	2.2
gcc	05-vectorization	192.1	17.3
gcc	06-tiling	184.0	19.7
clang	01-messages	24.2	2.4
clang	02-conversions	45.6	2.4
clang	03-strength-reduction	43.7	1.8
clang	04-parallel	88.2	3.5
clang	05-vectorization	217.0	31.0
clang	06-tiling	131.3	20.6
icc	01-messages	26.6	1.0
icc	02-conversions	23.9	9.1
icc	03-strength-reduction	33.7	3.1
icc	04-parallel	95.5	6.9
icc	05-vectorization	183.2	18.5
